ticker,name,exchange,source,name_norm
NVDA,NVIDIA CORP,Nasdaq,sec,nvidia
GOOGL,Alphabet Inc.,Nasdaq,sec,alphabet
AAPL,Apple Inc.,Nasdaq,sec,apple
MSFT,MICROSOFT CORP,Nasdaq,sec,microsoft
AMZN,AMAZON COM INC,Nasdaq,sec,amazon com
AVGO,Broadcom Inc.,Nasdaq,sec,broadcom
META,"Meta Platforms, Inc.",Nasdaq,sec,meta platforms
TSLA,"Tesla, Inc.",Nasdaq,sec,tesla
WMT,Walmart Inc.,Nasdaq,sec,walmart
BRK-B,BERKSHIRE HATHAWAY INC,NYSE,sec,berkshire hathaway
LLY,ELI LILLY & Co,NYSE,sec,eli lilly
JPM,JPMORGAN CHASE & CO,NYSE,sec,jpmorgan chase
MU,MICRON TECHNOLOGY INC,Nasdaq,sec,micron technology
AMD,ADVANCED MICRO DEVICES INC,Nasdaq,sec,advanced micro devices
XOM,EXXON MOBIL CORP,NYSE,sec,exxon mobil
V,VISA INC.,NYSE,sec,visa
ASML,ASML HOLDING NV,Nasdaq,sec,asml nv
INTC,INTEL CORP,Nasdaq,sec,intel
JNJ,JOHNSON & JOHNSON,NYSE,sec,johnson johnson
ORCL,ORACLE CORP,NYSE,sec,oracle
COST,COSTCO WHOLESALE CORP /NEW,Nasdaq,sec,costco wholesale new
CSCO,"CISCO SYSTEMS, INC.",Nasdaq,sec,cisco systems
MA,Mastercard Inc,NYSE,sec,mastercard
CAT,CATERPILLAR INC,NYSE,sec,caterpillar
CVX,CHEVRON CORP,NYSE,sec,chevron
CYATY,"Contemporary Amperex Technology Co., Limited/ADR",OTC,sec,contemporary amperex technology
ABBV,AbbVie Inc.,NYSE,sec,abbvie
NFLX,NETFLIX INC,Nasdaq,sec,netflix
BAC,BANK OF AMERICA CORP /DE/,NYSE,sec,bank of america de
UNH,UNITEDHEALTH GROUP INC,NYSE,sec,unitedhealth
KO,COCA COLA CO,NYSE,sec,coca cola
LRCX,LAM RESEARCH CORP,Nasdaq,sec,lam research
PG,PROCTER & GAMBLE Co,NYSE,sec,procter gamble
BABA,Alibaba Group Holding Ltd,NYSE,sec,alibaba
PLTR,Palantir Technologies Inc.,Nasdaq,sec,palantir technologies
AMAT,APPLIED MATERIALS INC /DE,Nasdaq,sec,applied materials de
HSBC,HSBC HOLDINGS PLC,NYSE,sec,hsbc
HD,"HOME DEPOT, INC.",NYSE,sec,home depot
MS,MORGAN STANLEY,NYSE,sec,morgan stanley
PM,Philip Morris International Inc.,NYSE,sec,philip morris international
GE,GENERAL ELECTRIC CO,NYSE,sec,general electric
NVS,NOVARTIS AG,NYSE,sec,novartis ag
AZN,ASTRAZENECA PLC,NYSE,sec,astrazeneca
MRK,"Merck & Co., Inc.",NYSE,sec,merck
TXN,TEXAS INSTRUMENTS INC,Nasdaq,sec,texas instruments
